states,year,quarter,trans_type,trans_counts,amount,district
andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,8171737.705916681,
andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,101079821.10344613,
andaman-&-nicobar-islands,2019,3,Merchant payments,3519,4428734.574846684,
andaman-&-nicobar-islands,2019,3,Financial Services,50,158857.94315586874,
andaman-&-nicobar-islands,2019,3,Others,215,232624.75992853564,
andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,18128,121493224.3075451,
andaman-&-nicobar-islands,2019,4,Recharge & bill payments,13851,9538690.916424634,
andaman-&-nicobar-islands,2019,4,Merchant payments,2920,5247500.487902376,
andaman-&-nicobar-islands,2019,4,Financial Services,60,295937.2110898865,
andaman-&-nicobar-islands,2019,4,Others,200,263177.5944158883,
andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,142332401.7923477,
andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,10850414.023977453,
andaman-&-nicobar-islands,2020,1,Merchant payments,4424,7752871.558217709,
andaman-&-nicobar-islands,2020,1,Financial Services,66,208231.7307165264,
andaman-&-nicobar-islands,2020,1,Others,216,332393.19201521645,
andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,17659622.73418829,
andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,141728757.73517442,
andaman-&-nicobar-islands,2020,2,Merchant payments,4004,9236375.740471344,
andaman-&-nicobar-islands,2020,2,Financial Services,175,706932.1397115812,
andaman-&-nicobar-islands,2020,2,Others,355,313313.0646014327,
andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,24756220.87546935,
andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,289078946.7312394,
andaman-&-nicobar-islands,2020,3,Merchant payments,16096,22682992.238478817,
andaman-&-nicobar-islands,2020,3,Financial Services,572,961836.7129860274,
andaman-&-nicobar-islands,2020,3,Others,808,539449.7721868362,
andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,533316526.1814983,
andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,33710030.53438324,
andaman-&-nicobar-islands,2020,4,Merchant payments,59391,56867468.94000395,
andaman-&-nicobar-islands,2020,4,Financial Services,965,1880546.967237064,
andaman-&-nicobar-islands,2020,4,Others,1925,1508083.6917299272,
andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.715478,
andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.86506996,
andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.05751458,
andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.0852598653,
andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228,
andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.7707307,
andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26275121,
andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.5090846,
andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.5136710336,
andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562,
andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.156299,
andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.85925055,
andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.21761322,
andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.441729573,
andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162,
andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.274458,
andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.6243375,
andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11464359,
andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167474068,
andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944,
andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.725447,
andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.683733,
andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66101265,
andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.022951186,
andaman-&-nicobar-islands,2022,1,Others,2643,2440321.9820225406,
andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9061847,
andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.455284,
andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.61795367,
andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.3927160464,
andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687,
andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.2965411,
andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56483,
andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.62714244,
andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.9779766416,
andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343,
andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.658504,
andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.8271317,
andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.6694117,
andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.230113048,
andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394,
andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698563,
andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.17878,
andhra-pradesh,2018,1,Merchant payments,362672,247297640.2400068,
andhra-pradesh,2018,1,Financial Services,204305,44808449.7639544,
andhra-pradesh,2018,1,Others,395514,287626042.970705,
andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488.488035,
andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.895294,
andhra-pradesh,2018,2,Merchant payments,604847,436785223.8603296,
andhra-pradesh,2018,2,Financial Services,225621,68952114.81374599,
andhra-pradesh,2018,2,Others,322063,328092346.575651,
andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.66872,
andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146.894192,
andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5076212,
andhra-pradesh,2018,3,Financial Services,380324,60790077.57437308,
andhra-pradesh,2018,3,Others,348725,284248675.5700202,
andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.136086,
andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957,
andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.568256,
andhra-pradesh,2018,4,Financial Services,400837,57178116.40322068,
andhra-pradesh,2018,4,Others,389411,315211361.2624941,
andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595,
andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771367,
andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.370634,
andhra-pradesh,2019,1,Financial Services,416325,47150177.52982048,
andhra-pradesh,2019,1,Others,361263,284937624.53930193,
andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.4702,
andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.910109,
andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.681959,
andhra-pradesh,2019,2,Financial Services,145310,26626696.77104253,
andhra-pradesh,2019,2,Others,448802,361492238.3966455,
andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.5153,
andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.5989065,
andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.066369,
andhra-pradesh,2019,3,Financial Services,122270,29778183.02708044,
andhra-pradesh,2019,3,Others,413437,298142027.5862577,
andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.6875,
andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.50486,
andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999,
andhra-pradesh,2019,4,Financial Services,105662,26796571.745749157,
andhra-pradesh,2019,4,Others,338672,216496893.1610287,
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.0475,
andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.49699,
andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.97353,
andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855,
andhra-pradesh,2020,1,Others,292310,188228538.3748976,
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907,
andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573462,
andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.442688,
andhra-pradesh,2020,2,Financial Services,140941,145274999.1567963,
andhra-pradesh,2020,2,Others,176241,90087654.6000998,
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.3205,
andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052,
andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.82717,
andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529,
andhra-pradesh,2020,3,Others,312329,151582519.1813668,
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7709,
andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168,
andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.55774,
andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684,
andhra-pradesh,2020,4,Others,457527,306853355.594738,
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018,
andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477,
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.144817,
andhra-pradesh,2021,1,Financial Services,225355,270313028.4845201,
andhra-pradesh,2021,1,Others,347907,272546457.5502677,
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439,
andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91249,
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106968,
andhra-pradesh,2021,2,Financial Services,243237,265483044.4012466,
andhra-pradesh,2021,2,Others,406842,308302224.3856007,
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307,
andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.1675,
andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361,
andhra-pradesh,2021,3,Financial Services,211171,297239697.8307386,
andhra-pradesh,2021,3,Others,547759,403948275.5675607,
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1284,
andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386,
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.98579,
andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881,
andhra-pradesh,2021,4,Others,701856,545223415.6638832,
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.478,
andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562,
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001,
andhra-pradesh,2022,1,Financial Services,231651,324358965.1185906,
andhra-pradesh,2022,1,Others,627694,474382234.25397474,
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.711,
andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.2089,
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145,
andhra-pradesh,2022,2,Financial Services,192751,245783011.0445526,
andhra-pradesh,2022,2,Others,441925,357036084.9071137,
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.739,
andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824,
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322,
andhra-pradesh,2022,3,Financial Services,187190,239347241.5465504,
andhra-pradesh,2022,3,Others,362484,323951101.5715289,
andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.0984,
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.011,
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902,
andhra-pradesh,2022,4,Financial Services,206459,250596592.0646504,
andhra-pradesh,2022,4,Others,345658,339211363.0027188,
arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338,
arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305,
arunachal-pradesh,2018,1,Merchant payments,1042,2420374.1905855755,
arunachal-pradesh,2018,1,Financial Services,416,58893.76201533088,
arunachal-pradesh,2018,1,Others,1990,1834252.817690888,
arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.53710718,
arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.1946475,
arunachal-pradesh,2018,2,Merchant payments,2378,4718953.439561011,
arunachal-pradesh,2018,2,Financial Services,559,363761.801595492,
arunachal-pradesh,2018,2,Others,2043,1842317.369135248,
arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.906016491,
arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.4534257,
arunachal-pradesh,2018,3,Merchant payments,4738,5505694.567913429,
arunachal-pradesh,2018,3,Financial Services,507,72133.845254878,
arunachal-pradesh,2018,3,Others,2039,2044708.9687807967,
arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.88231327,
arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328037,
arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1040326,
arunachal-pradesh,2018,4,Financial Services,561,100597.90379906222,
arunachal-pradesh,2018,4,Others,2222,2446271.9688117937,
arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796894.99823331,
arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317,
arunachal-pradesh,2019,1,Merchant payments,9214,11727218.40133424,
arunachal-pradesh,2019,1,Financial Services,256,140622.87093631705,
arunachal-pradesh,2019,1,Others,2239,2730548.597814082,
arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234,
arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435,
arunachal-pradesh,2019,2,Merchant payments,16828,13955724.13071291,
arunachal-pradesh,2019,2,Financial Services,267,160660.8821362781,
arunachal-pradesh,2019,2,Others,3046,3880742.524023137,
arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842,
arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606,
arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07427002,
arunachal-pradesh,2019,3,Financial Services,864,64089.11350267195,
arunachal-pradesh,2019,3,Others,2758,3419197.4177385764,
arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433,
arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.934045,
arunachal-pradesh,2019,4,Merchant payments,19769,23192271.69157681,
arunachal-pradesh,2019,4,Financial Services,314,305379.7987782319,
arunachal-pradesh,2019,4,Others,2376,3421174.01227797,
arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582,
arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.406636,
arunachal-pradesh,2020,1,Merchant payments,31181,28553052.13391879,
arunachal-pradesh,2020,1,Financial Services,470,337812.948161694,
arunachal-pradesh,2020,1,Others,2261,2943873.066683824,
arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.2296113,
arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.044183,
arunachal-pradesh,2020,2,Merchant payments,35169,46446966.61244751,
arunachal-pradesh,2020,2,Financial Services,1310,2655507.6964110374,
arunachal-pradesh,2020,2,Others,1939,1761404.4023099935,
arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.2118439,
arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578,
arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69272713,
arunachal-pradesh,2020,3,Financial Services,1761,4030599.9171272414,
arunachal-pradesh,2020,3,Others,3005,2695539.3607389224,
arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938.410562,
arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.2174306,
arunachal-pradesh,2020,4,Merchant payments,167387,156682926.023846,
arunachal-pradesh,2020,4,Financial Services,1749,2391651.8783250954,
arunachal-pradesh,2020,4,Others,4079,4055324.315454754,
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436502,
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836,
arunachal-pradesh,2021,1,Merchant payments,155966,204958020.08914977,
arunachal-pradesh,2021,1,Financial Services,1558,2672460.4740365944,
arunachal-pradesh,2021,1,Others,3074,3301662.609423133,
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755486,
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.2510589,
arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5363142,
arunachal-pradesh,2021,2,Financial Services,1582,2761076.7934988844,
arunachal-pradesh,2021,2,Others,3755,3415105.337960117,
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885,
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.3040377,
arunachal-pradesh,2021,3,Merchant payments,314658,449869060.7842621,
arunachal-pradesh,2021,3,Financial Services,1934,3348547.8272713376,
arunachal-pradesh,2021,3,Others,4185,3912143.3503634185,
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082,
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512,
arunachal-pradesh,2021,4,Merchant payments,521447,704195694.9939187,
arunachal-pradesh,2021,4,Financial Services,2386,3933557.2795471298,
arunachal-pradesh,2021,4,Others,5901,4862905.885615055,
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.459451,
arunachal-pradesh,2022,1,Merchant payments,720803,917155358.717718,
arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.00412327,
arunachal-pradesh,2022,1,Financial Services,3053,3359625.792926075,
arunachal-pradesh,2022,1,Others,6052,5002264.113148138,
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687716,
arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.363942,
arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.1948015,
arunachal-pradesh,2022,2,Financial Services,2466,4063469.0998270046,
arunachal-pradesh,2022,2,Others,5768,3864269.879579009,
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274203,
arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.488991,
arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.8077975,
arunachal-pradesh,2022,3,Financial Services,1997,4763324.776043448,
arunachal-pradesh,2022,3,Others,4687,3224948.7015704075,
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791,
arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.917463,
arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.6121468,
arunachal-pradesh,2022,4,Financial Services,2617,3785469.399336656,
arunachal-pradesh,2022,4,Others,4838,4020773.895396032,
assam,2018,1,Recharge & bill payments,632092,93491181.1405638,
assam,2018,1,Peer-to-peer payments,318025,993525195.9818656,
assam,2018,1,Merchant payments,40482,34501622.892667554,
assam,2018,1,Financial Services,18172,4936862.200688562,
assam,2018,1,Others,48110,31349593.99668264,
assam,2018,2,Recharge & bill payments,984160,174427478.213408,
assam,2018,2,Peer-to-peer payments,530781,2064314053.1339967,
assam,2018,2,Merchant payments,79307,73366344.80739225,
assam,2018,2,Financial Services,22773,7051504.657611102,
assam,2018,2,Others,46852,31425754.72538605,
assam,2018,3,Recharge & bill payments,1275136,254569069.32411745,
assam,2018,3,Peer-to-peer payments,843571,3424136709.50882,
assam,2018,3,Merchant payments,159532,96783839.37466942,
assam,2018,3,Financial Services,22677,4741123.821880115,
assam,2018,3,Others,50935,30904247.88478589,
assam,2018,4,Recharge & bill payments,1703488,317661277.3470997,
assam,2018,4,Peer-to-peer payments,1279089,5284776455.070784,
assam,2018,4,Merchant payments,667293,240563395.2777939,
assam,2018,4,Financial Services,28035,6331912.52655252,
assam,2018,4,Others,56267,38689818.79087821,
assam,2019,1,Recharge & bill payments,1993220,400281677.9438284,
assam,2019,1,Peer-to-peer payments,1976310,7291433300.700248,
assam,2019,1,Merchant payments,494871,266644645.7492942,
assam,2019,1,Financial Services,20162,4612454.1127945455,
assam,2019,1,Others,48442,39127457.94468763,
assam,2019,2,Recharge & bill payments,2512932,539315772.8606573,
assam,2019,2,Peer-to-peer payments,2293770,10035232820.85296,
assam,2019,2,Merchant payments,573646,326844709.5879724,
assam,2019,2,Financial Services,13654,4037222.414240564,
assam,2019,2,Others,60927,49538663.41037582,
assam,2019,3,Peer-to-peer payments,2713539,11835800855.17655,
assam,2019,3,Recharge & bill payments,2645302,639885372.7480905,
assam,2019,3,Merchant payments,513728,421380275.4207429,
assam,2019,3,Financial Services,8606,6403456.344768786,
assam,2019,3,Others,61396,46973660.73634353,
assam,2019,4,Peer-to-peer payments,3222143,14083346879.36185,
assam,2019,4,Recharge & bill payments,2937800,704118873.9720939,
assam,2019,4,Merchant payments,544053,456318130.082201,
assam,2019,4,Financial Services,9621,3492255.0860687294,
assam,2019,4,Others,46893,34707757.00985589,
assam,2020,1,Peer-to-peer payments,4058740,18977446151.76882,
assam,2020,1,Recharge & bill payments,3897975,971722606.1579468,
assam,2020,1,Merchant payments,792646,675423852.9512749,
assam,2020,1,Financial Services,10173,7054325.507515656,
assam,2020,1,Others,49326,36781411.34368035,
assam,2020,2,Recharge & bill payments,6045321,1612522828.716347,
assam,2020,2,Peer-to-peer payments,3648386,17358374071.26616,
assam,2020,2,Merchant payments,742400,749018053.2400584,
assam,2020,2,Financial Services,19814,18130004.68767226,
assam,2020,2,Others,49278,28255168.009208795,
assam,2020,3,Peer-to-peer payments,5637893,26646565777.439198,
assam,2020,3,Recharge & bill payments,5292154,1627282415.945187,
assam,2020,3,Merchant payments,1383230,1492484153.387315,
assam,2020,3,Financial Services,24954,28452966.02637225,
assam,2020,3,Others,59480,36605946.74600269,
assam,2020,4,Peer-to-peer payments,7538478,36013292450.81438,
assam,2020,4,Recharge & bill payments,5383505,1662189124.417745,
assam,2020,4,Merchant payments,2392184,2466913305.59039,
assam,2020,4,Financial Services,29764,32314809.97526103,
assam,2020,4,Others,79523,51901628.46643049,
assam,2021,1,Peer-to-peer payments,9449096,45476079487.104645,
assam,2021,1,Recharge & bill payments,6494111,2103017761.5465329,
assam,2021,1,Merchant payments,3459132,3657261586.200161,
assam,2021,1,Financial Services,34049,41291047.3832124,
assam,2021,1,Others,75672,48814663.88782827,
assam,2021,2,Peer-to-peer payments,11668399,51521387890.612526,
assam,2021,2,Recharge & bill payments,9058005,2657676415.2458973,
assam,2021,2,Merchant payments,4562669,4914753140.040101,
assam,2021,2,Financial Services,49671,46106001.4981417,
assam,2021,2,Others,94161,52549929.26715793,
assam,2021,3,Peer-to-peer payments,15617592,64131823895.23546,
assam,2021,3,Recharge & bill payments,10284267,3248364164.198426,
assam,2021,3,Merchant payments,7431371,8208706348.034584,
assam,2021,3,Financial Services,39479,43889820.49598975,
assam,2021,3,Others,131732,67715045.34317216,
assam,2021,4,Peer-to-peer payments,21393962,86801625126.53499,
assam,2021,4,Merchant payments,12895755,13378765005.90518,
assam,2021,4,Recharge & bill payments,11484376,3842004488.373319,
assam,2021,4,Financial Services,60724,65456475.82619133,
assam,2021,4,Others,185544,97116796.57575196,
assam,2022,1,Peer-to-peer payments,27156085,108855352347.4486,
assam,2022,1,Merchant payments,19011883,18833132506.02235,
assam,2022,1,Recharge & bill payments,12474674,4424035840.366192,
assam,2022,1,Financial Services,68432,73257991.39188361,
assam,2022,1,Others,178812,94659207.47378008,
assam,2022,2,Peer-to-peer payments,33879530,123829913105.3184,
assam,2022,2,Merchant payments,28377534,24333260089.82686,
assam,2022,2,Recharge & bill payments,13858113,4814695679.877083,
assam,2022,2,Financial Services,50785,55549153.74320389,
assam,2022,2,Others,168763,77624058.0178437,
assam,2022,3,Peer-to-peer payments,37000266,127264703851.96632,
assam,2022,3,Merchant payments,34935460,28789992307.1612,
assam,2022,3,Recharge & bill payments,13974568,5295136932.037907,
assam,2022,3,Financial Services,65066,62882386.459812224,
assam,2022,3,Others,138451,76363577.2732331,
assam,2022,4,Peer-to-peer payments,44828832,150693397669.1831,
assam,2022,4,Merchant payments,43605784,36033810141.57484,
assam,2022,4,Recharge & bill payments,15344794,5773980885.270762,
assam,2022,4,Financial Services,74414,75960367.91633397,
assam,2022,4,Others,127443,76370123.60102956,
bihar,2018,1,Recharge & bill payments,3159922,375559206.7727593,
bihar,2018,1,Peer-to-peer payments,2052089,5295346761.4508295,
bihar,2018,1,Financial Services,194295,33999413.87739952,
bihar,2018,1,Merchant payments,138885,139827755.73655012,
bihar,2018,1,Others,279111,201025034.1796018,
bihar,2018,2,Recharge & bill payments,4346849,700649777.0602969,
bihar,2018,2,Peer-to-peer payments,3447898,12141448845.07762,
bihar,2018,2,Merchant payments,311487,318571872.8216527,
bihar,2018,2,Financial Services,267433,45332532.09643286,
bihar,2018,2,Others,258711,300128082.61604583,
bihar,2018,3,Peer-to-peer payments,8893764,18695889187.89432,
bihar,2018,3,Recharge & bill payments,4401439,804061398.5166464,
bihar,2018,3,Merchant payments,586862,367608510.7261781,
bihar,2018,3,Financial Services,274510,33276460.45213346,
bihar,2018,3,Others,211229,234968821.3120635,
bihar,2018,4,Peer-to-peer payments,8094296,26224303882.80399,
bihar,2018,4,Recharge & bill payments,5469096,986310785.0093702,
